Clusters populated to vertex count of: 76268
Clusters: [0=[20000000, 25330], 1=[20000000, 25574], 2=[20000000, 25364]]
Running test queries
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Vertex count: 76268, Max degree: 1251, Avg. degree: 23,28
Successfully added the log graph schema
Loading the log to graph
Edges added: 1256422
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Edges overall: 2403874
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Staring Vaquero partitioning - cF=0,990, iF=1,000, nClusters=3, aProb=0,50
Clusters INIT Lower Bound: [0=-92, 1=151, 2=-58]
Cooling factor: 0,990
It.		Temp		tRatio		Impr.		pSwitch		Good		Cross		Sum		sCount		Time
75		0,951		0,48		0,628		0,74		1153572		380704		1534276		49934		17,73s
76		0,941		0,47		0,631		0,74		1156823		377453		1534276		49926		23,45s
77		0,932		0,47		0,634		0,73		1159402		374874		1534276		49918		17,79s
78		0,922		0,46		0,638		0,73		1163488		370788		1534276		49920		24,44s
79		0,913		0,46		0,638		0,73		1164125		370151		1534276		49934		19,31s
80		0,904		0,45		0,641		0,73		1167281		366995		1534276		49926		21,00s
81		0,895		0,45		0,643		0,72		1168670		365606		1534276		49922		18,40s
82		0,886		0,44		0,643		0,72		1168898		365378		1534276		49916		22,30s
83		0,877		0,44		0,643		0,72		1169274		365002		1534276		49913		19,77s
84		0,868		0,43		0,644		0,72		1169683		364593		1534276		49914		24,02s
85		0,860		0,43		0,644		0,71		1170089		364187		1534276		49919		18,38s
86		0,851		0,43		0,645		0,71		1170716		363560		1534276		49921		23,01s
87		0,843		0,42		0,646		0,71		1171447		362829		1534276		49917		20,16s
88		0,834		0,42		0,646		0,71		1171903		362373		1534276		49912		24,47s
89		0,826		0,41		0,647		0,71		1172818		361458		1534276		49910		18,74s
90		0,818		0,41		0,647		0,70		1173252		361024		1534276		49909		23,04s
91		0,809		0,40		0,648		0,70		1173703		360573		1534276		49915		19,01s
92		0,801		0,40		0,648		0,70		1173960		360316		1534276		49914		23,06s
93		0,793		0,40		0,648		0,70		1174446		359830		1534276		49917		18,15s
94		0,785		0,39		0,648		0,70		1174485		359791		1534276		49914		22,64s
95		0,778		0,39		0,649		0,69		1174635		359641		1534276		49918		18,34s
