Clusters populated to vertex count of: 76268
Clusters: [0=[20000000, 10913], 1=[20000000, 10851], 2=[20000000, 10869], 3=[20000000, 10959], 4=[20000000, 10978], 5=[20000000, 10937], 6=[20000000, 10761]]
Running test queries
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Vertex count: 76268, Max degree: 1251, Avg. degree: 23,28
Successfully added the log graph schema
Loading the log to graph
Edges added: 1256422
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Edges overall: 2403874
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Staring Vaquero partitioning - cF=0,990, iF=0,900, nClusters=7, aProb=0,50
Clusters INIT Lower Bound: [0=1107, 1=1045, 2=1063, 3=1153, 4=1172, 5=1131, 6=955]
Cooling factor: 0,990
It.		Temp		tRatio		Impr.		pSwitch		Good		Cross		Sum		sCount		Time
1		2,000		1,00		0,000		1,00		218728		1315548		1534276		64460		17,79s		 
2		1,980		0,99		0,007		1,00		227361		1306915		1534276		63122		16,00s		 
3		1,960		0,98		0,010		0,99		231417		1302859		1534276		64657		19,59s		 
4		1,941		0,97		0,012		0,99		234258		1300018		1534276		64589		16,51s		 
5		1,921		0,96		0,016		0,98		239841		1294435		1534276		64954		21,20s		 
6		1,902		0,95		0,018		0,98		242278		1291998		1534276		64873		16,23s		 
7		1,883		0,94		0,023		0,97		248772		1285504		1534276		65135		19,91s		 
8		1,864		0,93		0,026		0,97		253276		1281000		1534276		65072		17,34s		 
9		1,845		0,92		0,029		0,96		257118		1277158		1534276		65134		21,09s		 
10		1,827		0,91		0,028		0,96		255208		1279068		1534276		65012		16,22s		 
11		1,809		0,90		0,032		0,95		260567		1273709		1534276		65031		21,78s		 
12		1,791		0,90		0,032		0,95		260209		1274067		1534276		65234		16,40s		 
13		1,773		0,89		0,037		0,94		267824		1266452		1534276		65251		19,57s		 
14		1,755		0,88		0,038		0,94		269066		1265210		1534276		65085		16,59s		 
15		1,737		0,87		0,040		0,93		271011		1263265		1534276		65117		19,12s		 
16		1,720		0,86		0,045		0,93		277937		1256339		1534276		65152		16,96s		 
17		1,703		0,85		0,048		0,93		282512		1251764		1534276		65232		20,45s		 
18		1,686		0,84		0,054		0,92		290144		1244132		1534276		65135		17,03s		 
19		1,669		0,83		0,055		0,92		291617		1242659		1534276		65074		21,00s		 
20		1,652		0,83		0,060		0,91		297385		1236891		1534276		65195		17,28s		 
21		1,636		0,82		0,064		0,91		302828		1231448		1534276		65168		21,24s		 
22		1,619		0,81		0,070		0,90		310844		1223432		1534276		65214		16,98s		 
23		1,603		0,80		0,072		0,90		313194		1221082		1534276		65229		21,42s		 
24		1,587		0,79		0,076		0,90		318819		1215457		1534276		65312		16,51s		 
25		1,571		0,79		0,083		0,89		327646		1206630		1534276		65154		21,93s		 
26		1,556		0,78		0,087		0,89		332697		1201579		1534276		65090		16,95s		 
27		1,540		0,77		0,094		0,89		342658		1191618		1534276		65202		21,67s		 
28		1,525		0,76		0,091		0,88		338259		1196017		1534276		65304		16,59s		 
29		1,509		0,75		0,099		0,88		348606		1185670		1534276		65261		21,39s		 
30		1,494		0,75		0,105		0,87		356613		1177663		1534276		65255		17,57s		 
31		1,479		0,74		0,106		0,87		358100		1176176		1534276		65174		21,34s		 
32		1,465		0,73		0,108		0,87		361081		1173195		1534276		65198		17,17s		 
33		1,450		0,72		0,113		0,86		367721		1166555		1534276		65108		20,62s		 
34		1,435		0,72		0,121		0,86		377630		1156646		1534276		65199		16,89s		 
35		1,421		0,71		0,115		0,86		369660		1164616		1534276		65063		23,10s		 
36		1,407		0,70		0,114		0,85		368985		1165291		1534276		65222		17,17s		 
37		1,393		0,70		0,122		0,85		378637		1155639		1534276		65142		20,36s		 
38		1,379		0,69		0,129		0,84		388201		1146075		1534276		65296		16,51s		 
39		1,365		0,68		0,132		0,84		392526		1141750		1534276		65144		20,23s		 
40		1,351		0,68		0,129		0,84		388453		1145823		1534276		65126		16,62s		 
41		1,338		0,67		0,139		0,83		401040		1133236		1534276		65239		20,14s		 
42		1,325		0,66		0,148		0,83		412792		1121484		1534276		65197		16,57s		 
43		1,311		0,66		0,150		0,83		415652		1118624		1534276		65242		19,82s		 
44		1,298		0,65		0,158		0,82		426741		1107535		1534276		65083		17,18s		 
45		1,285		0,64		0,160		0,82		429313		1104963		1534276		65106		22,25s		 
46		1,272		0,64		0,166		0,82		436478		1097798		1534276		65140		16,57s		 
47		1,260		0,63		0,177		0,81		451681		1082595		1534276		65156		20,45s		 
